1,Tenis,Clean Gent,Addidas,27.5,Rosa,Ante,,29/04/2022,51,Diego
2,Tenis,Clean Gent,Addidas,28,Verde,Nubuck,Manchas de Caf̩,03/08/2022,43,Diego
3,Tenis,Clean Gent,Addidas,27,Negro,Gamuza,,10/10/2022,33,Diego
4,Tenis,Clean Gent,Addidas,27.5,Azul,Piel,,28/04/2022,81,Diego
5,Tenis,Clean Gent,Addidas,28.5,Amarillo,Ante,Manchas de grasa,17/11/2022,50,Diego
6,Tenis,Basic,Addidas,26,Amarillo,Gamuza,Manchas de grasa,14/08/2022,73,Diego
7,Tenis,Basic,Addidas,26,Azul,Gamuza,Manchas de Caf̩,03/08/2022,95,Diego
8,Tenis,Basic,Addidas,27,Blanco,Vinipiel,Rallon en la punta,10/11/2022,39,Diego
9,Tenis,Basic,Addidas,27.5,Azul,Vinipiel,Manchas de Caf̩,29/07/2022,56,Diego
10,Tenis,Basic,Addidas,31,Morado,Vinipiel,,01/11/2022,94,Gabriela
11,Tenis,Basic,Addidas,26,Blanco,Nubuck,Manchas de grasa,15/03/2022,20,Gerardo
12,Tenis,Basic,Addidas,26.5,Morado,Tela,Manchas de grasa,28/01/2022,9,Gerardo
13,Tenis,Basic,Addidas,25.5,Azul,Plastico,,09/01/2022,77,Gerardo
14,Tenis,Basic,Rebook,26,Negro,Gamuza,,01/04/2022,92,Gerardo
15,Tenis,Basic,Rebook,29,Morado,Plastico,,02/04/2022,15,Gerardo
16,Tenis,Basic,Rebook,29,Amarillo,Vinipiel,,30/07/2022,48,Natalia
17,Tenis,Basic,Rebook,30,Negro,Tela,,29/10/2022,41,Alondra
18,Tenis,Basic,Rebook,26.5,Multicolor,Nubuck,,27/01/2022,27,Alondra
19,Tenis,Basic,Rebook,30,Negro,Ante,,26/11/2022,71,Alondra
20,Tenis,Basic,Rebook,32,Rojo,Gamuza,,07/09/2022,21,Alondra
21,Tenis,Basic,Rebook,25.5,Amarillo,Vinipiel,Manchas de sangre en la lengueta,08/07/2022,81,Antonio
22,Tenis,Basic,Rebook,26.5,Blanco,Ante,,08/06/2022,49,Antonio
23,Tenis,Basic,Rebook,24,Verde,Ante,Manchas de sangre en la lengueta,08/02/2022,83,Regina
24,Tenis,Basic,Rebook,25.5,Blanco,Ante,,24/06/2022,66,Regina
25,Tenis,Basic,Rebook,28.5,Rojo,Gamuza,,29/12/2022,62,Regina
26,Tenis,Basic,Rebook,25.5,Rojo,Nubuck,,22/09/2022,93,Regina
27,Tenis,Basic,Rebook,26,Rosa,Tela,Manchas de grasa,10/05/2022,41,Regina
28,Tenis,Basic,Rebook,25.5,Blanco,Tela,,17/04/2022,52,Juan
29,Tenis,Basic,Rebook,27.5,Amarillo,Tela,,31/08/2022,37,Juan
30,Tenis,Basic,Rebook,28.5,Verde,Nubuck,Manchas de sangre en la lengueta,30/05/2022,7,Juan
31,Tenis,Premium,Rebook,31,Amarillo,Piel,,22/10/2022,13,Rocio
32,Tenis,Premium,Nike,26.5,Negro,Vinipiel,,09/12/2022,51,Rocio
33,Tenis,Premium,Nike,31.5,Morado,Nubuck,,16/03/2022,59,Rocio
34,Tenis,Premium,Nike,24.5,Rosa,Piel,Manchas de sangre en la lengueta,10/05/2022,96,Christofer
35,Tenis,Premium,Nike,28.5,Blanco,Plastico,Rallon en la punta,21/11/2022,90,Christofer
36,Tenis,Premium,Nike,27.5,Negro,Ante,,09/03/2022,40,Christofer
37,Tenis,Premium,Nike,26.5,Rojo,Gamuza,Manchas de Caf̩,14/11/2022,20,Christofer
38,Tenis,Premium,Nike,27.5,Verde,Vinipiel,Manchas de sangre en la lengueta,01/02/2022,33,Christofer
39,Tenis,Premium,Nike,26,Azul,Tela,Manchas de Caf̩,18/05/2022,7,Christofer
40,Tenis,Premium,Nike,24,Rosa,Ante,,07/09/2022,69,Christofer
